feature,shap_importance
demand_lag_1,0.8107177488527341
opening_stock,0.24025841284749075
demand_roll_mean_7,0.1900891266126331
week_of_year,0.11668131921185841
price,0.09061341306350656
demand_roll_std_7,0.060280141678851235
base_price,0.05811981558293188
avg_temp_c_masked,0.05071892404514689
day_of_month,0.04279150222895021
year,0.040514156736743
cost,0.03264540611456429
avg_humidity_pct,0.031047925932253164
wind_speed_kmh,0.02768444045339606
demand_rolling_7_std,0.02698650306351014
day_of_week,0.02290313270996755
demand_rolling_7_mean,0.014713915275412336
day_of_week_cos,0.013004208115069117
max_temp_c,0.012844402029240259
lead_time_days,0.012830435263915701
demand_roll_mean_30,0.012355674447675009
min_temp_c,0.012051638159035118
month_cos,0.011961592500014011
decline_phase_days,0.010340746041028654
month,0.010199381619215514
month_sin,0.010163552718577346
min_order_qty,0.010147384753943204
base_price_sku,0.009261243988619662
lead_time_actual,0.008214269646363527
cost_sku,0.004805597067029696
demand_roll_std_30,0.00444460218539021
demand_roll_mean_14,0.0042609969598463426
stockout_flag,0.0032330204129249252
precipitation_mm_masked,0.003104572560393899
demand_lag_7,0.0026875316696492032
annual_growth_rate,0.0026135810313329083
day_of_week_sin,0.0024377534906213994
demand_roll_std_14,0.0024362760207831792
storage_capacity_units,0.0022851709284116267
promo_intensity_7d,0.0022809785998932366
population_base,0.002070659114743973
quarter,0.0019494807599513965
shelf_life_days,0.001740620851050386
min_order_qty_sku,0.0015869141813846805
income_index_base,0.0014556469981906203
decline_phase_days_sku,0.001386985026660231
lead_time_days_sku,0.0013861709363247954
demand_lag_14,0.0013712814932774675
demand_lag_30,0.001273892952241346
storage_capacity_units_location,0.0009709926643776672
weather_demand_factor,0.0008868510855140543
is_festival,0.0007377422945467304
income_index_base_location,0.0006832520337301838
price_change_pct,0.00047273566843231916
price_vs_base,0.00038304895519772916
population_base_location,0.0003471629903731926
income_growth_rate,0.000283443376100662
shelf_life_days_sku,0.0002818570306302141
discount_depth,0.0002736258572908216
annual_growth_rate_location,0.00024067507324042326
promo_flag,3.9598895384579966e-05
cold_storage_available,2.8785078266032804e-05
is_weekend,2.5373893406195614e-05
price_to_base,1.484240449377072e-05
cold_storage_available_location,1.2117757325844412e-05
income_growth_rate_location,2.861358519219403e-06
waste_spoiled,1.0522101746160328e-06
launch_phase_days,0.0
days_since_promo,0.0
launch_phase_days_sku,0.0
